ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,ENVIROMENT,AREA_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
COR_EXT_E_S,CORRIDOR,Corridor Outside East,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.972,0.4129,,Verdadero,Corridor Outside East,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_MAIN_ENTRANCE_E,CORRIDOR,Corridor Outside Main Entrance,PATH,CORRIDOR,B1,OUTDOOR_OPEN_AIR,MALL,Falso,0.8126,0.5629,,Verdadero,Corridor Outside Main Entrance,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_MAIN_ENTRANCE_M1,CORRIDOR,Corridor Outside Main Entrance,PATH,CORRIDOR,B1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7856,0.6029,,Verdadero,Corridor Outside Main Entrance,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_MAIN_ENTRANCE_W,CORRIDOR,Corridor Outside Main Entrance,PATH,CORRIDOR,B1,OUTDOOR_OPEN_AIR,MALL,Falso,0.7586,0.6429,,Verdadero,Corridor Outside Main Entrance,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_N_MAIN_E,CORRIDOR,Corridor Outside North Main,PATH,CORRIDOR,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.18,0.0969,,Verdadero,Corridor Outside North Main,ACTIVE,TRUE,Verdadero,Verdadero,Verdadero,
COR_EXT_N_MAIN_M1,CORRIDOR,Corridor Outside North Main,PATH,CORRIDOR,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.248,0.0819,,Verdadero,Corridor Outside North Main,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_N_MAIN_M2,CORRIDOR,Corridor Outside North Main,PATH,CORRIDOR,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.335,0.0619,,Verdadero,Corridor Outside North Main,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_N_MAIN_W,CORRIDOR,Corridor Outside North Main,PATH,CORRIDOR,F1,OUTDOOR_OPEN_AIR,MALL,Falso,0.393,0.0479,,Verdadero,Corridor Outside North Main,ACTIVE,TRUE,Verdadero,Verdadero,Verdadero,
COR_EXT_W_M1,CORRIDOR,Corridor Outside West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.3146,0.7219,,Verdadero,Corridor Outside West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_W_M2,CORRIDOR,Corridor Outside West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.3636,0.7529,,Verdadero,Corridor Outside West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_W_M3,CORRIDOR,Corridor Outside West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4216,0.7899,,Verdadero,Corridor Outside West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_W_M4,CORRIDOR,Corridor Outside West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4916,0.8359,,Verdadero,Corridor Outside West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_W_M5,CORRIDOR,Corridor Outside West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5626,0.8819,,Verdadero,Corridor Outside West,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_EXT_W_N,CORRIDOR,Corridor Outside West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.2746,0.6859,,Verdadero,Corridor Outside West,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_EXT_W_S,CORRIDOR,Corridor Outside West,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6506,0.9229,,Verdadero,Corridor Outside West,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_MAIN_E_M1,CORRIDOR,Avenida de Mediterraneo South,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6646,0.4399,,Verdadero,Avenida de Mediterraneo South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E_M2,CORRIDOR,Avenida de Mediterraneo South,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6606,0.4059,,Verdadero,Avenida de Mediterraneo South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E_M3,CORRIDOR,Avenida de Mediterraneo South,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6536,0.3629,,Verdadero,Avenida de Mediterraneo South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E_M4,CORRIDOR,Avenida de Mediterraneo South,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6366,0.3259,,Verdadero,Avenida de Mediterraneo South,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E_N,CORRIDOR,Avenida de Mediterraneo South,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6286,0.3089,,Verdadero,Avenida de Mediterraneo South,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_MAIN_E_S,CORRIDOR,Avenida de Mediterraneo South,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.6646,0.4669,,Verdadero,Avenida de Mediterraneo South,ACTIVE,Verdadero,Verdadero,Verdadero,Verdadero,
COR_MAIN_E1_M1,CORRIDOR,Avenida de Mediterraneo North,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5646,0.2319,,Verdadero,Avenida de Mediterraneo North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E1_M2,CORRIDOR,Avenida de Mediterraneo North,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.5306,0.2079,,Verdadero,Avenida de Mediterraneo North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E1_M3,CORRIDOR,Avenida de Mediterraneo North,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4866,0.1819,,Verdadero,Avenida de Mediterraneo North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E1_M4,CORRIDOR,Avenida de Mediterraneo North,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4416,0.1539,,Verdadero,Avenida de Mediterraneo North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
COR_MAIN_E1_N,CORRIDOR,Avenida de Mediterraneo North,PATH,CORRIDOR,F0,OUTDOOR_OPEN_AIR,MALL,Falso,0.4146,0.1549,,Verdadero,Avenida de Mediterraneo North,ACTIVE,Verdadero,Verdadero,Verdadero,Falso,
