FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS
COR_EXT_W_S,COR_EXT_W_M5,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:02:13.452Z,ACTIVE
COR_MAIN_E_M1,COR_MAIN_E_S,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:18:04.951Z,ACTIVE
COR_MAIN_E_M2,COR_MAIN_E_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:18:00.145Z,ACTIVE
COR_MAIN_E_M3,COR_MAIN_E_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:57.461Z,ACTIVE
COR_MAIN_E_M3,SHORTCUT_HM_E_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:55.649Z,ACTIVE
COR_MAIN_E_M4,COR_MAIN_E_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:54.392Z,ACTIVE
COR_MAIN_E_M4,NODE_DOOR_CALZEDONIA,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-27T20:09:25Z,ACTIVE
COR_MAIN_E_N,COR_MAIN_E_M4,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:50.511Z,ACTIVE
COR_MAIN_E1_M1,COR_MAIN_E1_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:10:25.268Z,ACTIVE
COR_MAIN_E1_M2,COR_MAIN_E1_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:10:27.360Z,ACTIVE
COR_MAIN_E1_M3,COR_MAIN_E1_M4,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:10:29.716Z,ACTIVE
COR_MAIN_E1_M4,COR_MAIN_E1_N,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:11:45.543Z,ACTIVE
COR_MAIN_E1_N,COR_PLZ_N_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:14:57.624Z,ACTIVE
COR_MAIN_E1_S,COR_MAIN_E1_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:10:24.094Z,ACTIVE
COR_MAIN_E1_S,COR_PLZ_E_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:10:19.806Z,ACTIVE
COR_MAIN_E1_S,COR_PLZ_E_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:10:18.039Z,ACTIVE
COR_MAIN_E2_N,COR_MAIN_E2_S,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:09:29.333Z,ACTIVE
COR_MAIN_E2_S,COR_PLZ_E_E_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:09:48.866Z,ACTIVE
COR_MAIN_N_M1,COR_MAIN_N_S,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:30.752Z,ACTIVE
COR_MAIN_N_M2,COR_MAIN_N_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:29.089Z,ACTIVE
COR_MAIN_N_M3,COR_MAIN_N_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:27.246Z,ACTIVE
COR_MAIN_N_M4,COR_MAIN_N_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:26.219Z,ACTIVE
COR_MAIN_N_M4,PARKING_LOT_N,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-24T13:30:00.000Z,ACTIVE
COR_MAIN_N_N,COR_MAIN_N_M4,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:24.920Z,ACTIVE
COR_MAIN_N1_M1,SHORTCUT_HM_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:51.644Z,ACTIVE
COR_MAIN_N1_M2,COR_MAIN_N1_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:49.333Z,ACTIVE
COR_MAIN_N1_M3,COR_MAIN_N1_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:47.343Z,ACTIVE
COR_MAIN_N1_M4,COR_MAIN_N1_M3,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:45.940Z,ACTIVE
COR_MAIN_N1_M4,NODE_DOOR_ALEJOR,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-27T20:05:39Z,ACTIVE
COR_MAIN_N1_M4,NODE_DOOR_GUESS_N,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-27T20:05:41Z,ACTIVE
COR_MAIN_N1_M4,NODE_DOOR_TIENDANIMAL,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-27T20:05:38Z,ACTIVE
COR_MAIN_N1_N,COR_MAIN_N1_M4,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:14.572Z,ACTIVE
COR_MAIN_N1_S,COR_MAIN_N1_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-27T20:16:34Z,ACTIVE
COR_MAIN_N1_S,COR_PLZ_W_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:16:07.594Z,ACTIVE
COR_MAIN_W_E,ATM3_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:07:00.925Z,ACTIVE
COR_MAIN_W_E,COR_PLZ_S_S_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:06:25.882Z,ACTIVE
COR_MAIN_W_E,COR_PLZ_S_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:06:27.574Z,ACTIVE
COR_MAIN_W_E,ESC_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:06:59.042Z,ACTIVE
COR_MAIN_W_M1,COR_MAIN_W_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:05:55.806Z,ACTIVE
COR_MAIN_W_M2,COR_MAIN_W_E,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:06:03.602Z,ACTIVE
COR_MAIN_W_W,ATM_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:05:30.708Z,ACTIVE
COR_MAIN_W_W,COR_MAIN_W_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:05:34.177Z,ACTIVE
COR_MAIN_W1_M1,COR_MAIN_W1_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:07:13.384Z,ACTIVE
COR_MAIN_W1_M2,COR_MAIN_W1_E,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:07:18.836Z,ACTIVE
COR_MAIN_W1_W,COR_MAIN_W1_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:07:12.111Z,ACTIVE
COR_MAIN_W1_W,COR_PLZ_S_E_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:06:36.417Z,ACTIVE
COR_PLZ_CROSS_NS_N_F0,COR_PLZ_CROSS_NS_N_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:14:18.999Z,ACTIVE
COR_PLZ_CROSS_NS_N_M1,COR_PLZ_CROSS_NS_S_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:14:18.999Z,ACTIVE
COR_PLZ_CROSS_NS_N_M1,NODE_PLZ_CROSS_CENTER_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:14:18.999Z,ACTIVE
COR_PLZ_CROSS_NS_S_F0,COR_PLZ_MAIN_E_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:21:27.475Z,ACTIVE
COR_PLZ_CROSS_WE_E_F0,COR_PLZ_CROSS_WE_W_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:22:47.004Z,ACTIVE
COR_PLZ_CROSS_WE_E_F0,COR_PLZ_MAIN_W_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:23:36.275Z,ACTIVE
COR_PLZ_CROSS_WE_W_M1,ATM2_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:28:33.259Z,ACTIVE
COR_PLZ_CROSS_WE_W_M1,COR_PLZ_CROSS_WE_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:22:07.695Z,ACTIVE
COR_PLZ_CROSS_WE_W_M1,NODE_PLZ_CROSS_CENTER_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:32:52.822Z,ACTIVE
COR_PLZ_E_N_F0,COR_MAIN_E2_S,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:09:43.662Z,ACTIVE
COR_PLZ_E_N_F0,ESC_E_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:10:09.949Z,ACTIVE
COR_PLZ_E_S_F0,COR_MAIN_E_N,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:17:48.824Z,ACTIVE
COR_PLZ_E_S_F0,COR_PLZ_E_E_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:09:56.242Z,ACTIVE
