ANCHOR_ID,ANCHOR_TYPE,NAME,ANCHOR_ROLE,ANCHOR_CLASS,FLOOR,FLOOR_TYPE,VERTICAL,X,Y,POLYGON,WALKABLE,NOTES,STATUS,ACCESS_WHEELCHAIR,ACCESS_STROLLER,ACCESS_LUGGAGE,PRE_SITE_QA,
LOCKER_AMAZON_B1,Locker Amazon,Amazon Parcel Locker,AMENITY,AMENITY,B1,BASEMENT,FALSE,0.452,0.5195,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
LOCKER_CORREOS_B1,Locker Correos,Correos Parcel Locker,AMENITY,AMENITY,B1,BASEMENT,FALSE,0.453,0.5215,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
MALL_SHELL_LZ,SHELL,Outside Shell,BOUNDARY,SHELL,F0,GROUND,FALSE,,,,FALSE,Mall boundary / shell (non-navigable),PRE_SITE_QA,FALSE,FALSE,FALSE,TRUE,
NODE_DOOR_100_MONTADITOS,STORE,100 Montaditos,NODE,DOOR,F1,UPPER,FALSE,0.717,0.6535,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_ADIDASORIGINALS,STORE,Adidas Originals,NODE,DOOR,F0,GROUND,FALSE,0.735,0.5145,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_ALCAMPO_N,STORE,Al Campo,NODE,DOOR,F0,GROUND,FALSE,0.357,0.249,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_ALCAMPO_S,STORE,Al Campo,NODE,DOOR,F0,GROUND,FALSE,0.38,0.31,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_ALEHOP,STORE,Ale Hop,NODE,DOOR,F0,GROUND,FALSE,0.514,0.179,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_ALEJOR,STORE,Alejor,NODE,DOOR,F0,GROUND,FALSE,0.431,0.2605,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
NODE_DOOR_AVATEL,STORE,Avatel,NODE,DOOR,F0,GROUND,FALSE,0.43,0.4485,,FALSE,,PRE_SITE_QA,TRUE,TRUE,TRUE,TRUE,
