FROM;TO;BIDIRECTIONAL;CREATED_AT
ESC_N_F0;ESC_N_F1;TRUE;2026-02-18T14:02:04.751Z
COR_PLZ_N_W_F0;COR_PLZ_N_N_F0;TRUE;2026-02-18T14:04:00.487Z
COR_PLZ_N_W_F0;COR_PLZ_N_S_F0;TRUE;2026-02-18T14:04:30.128Z
COR_PLZ_N_E_F0;COR_PLZ_N_S_F0;TRUE;2026-02-18T14:04:38.174Z
COR_PLZ_N_N_F0;COR_PLZ_N_E_F0;TRUE;2026-02-18T14:04:45.522Z
PLZ_N_C_F0;COR_PLZ_N_W_F0;TRUE;2026-02-18T14:05:15.014Z
PLZ_N_C_F0;RAMP1_F0;TRUE;2026-02-18T14:05:17.568Z
RAMP1_B1;RAMP1_F0;TRUE;2026-02-18T14:05:27.309Z
PLAY_KIDS_N_F0;PLZ_N_C_F0;TRUE;2026-02-18T14:05:35.331Z
PLZ_N_C_F0;SEATING_PLAY_KIDS_N_F0;TRUE;2026-02-18T14:05:42.184Z
ESC_N_F0;COR_PLZ_N_N_F0;TRUE;2026-02-18T14:05:52.826Z
STR_N_EXIT_F0;COR_PLZ_N_N_F0;TRUE;2026-02-18T14:05:56.566Z
ELV_N_F1;COR_PLZ_N_W_F0;TRUE;2026-02-18T14:06:09.628Z
ATM1_F0;COR_PLZ_N_W_F0;TRUE;2026-02-18T14:06:13.891Z
WC_N_F0;COR_PLZ_N_W_F0;TRUE;2026-02-18T14:06:17.939Z
ATM5_F0;COR_PLZ_N_S_F0;TRUE;2026-02-18T14:06:35.106Z
COR_PLZ_N_S_F0;STR_N_F0;TRUE;2026-02-18T14:06:39.691Z
STR_N_F0;STR_N_B1;TRUE;2026-02-18T14:06:45.391Z
COR_COVERED_N;COR_PLZ_N_S_F0;TRUE;2026-02-18T14:06:54.960Z
COR_COVERED_N;COR_COVERED_M1;TRUE;2026-02-18T14:07:18.940Z
COR_COVERED_M2;COR_COVERED_M1;TRUE;2026-02-18T14:07:45.035Z
COR_COVERED_S;COR_COVERED_M2;TRUE;2026-02-18T14:07:58.225Z
COR_PLZ_W_W_F0;COR_PLZ_W_S_F0;TRUE;2026-02-18T14:08:25.809Z
COR_PLZ_W_N_F0;COR_PLZ_W_W_F0;TRUE;2026-02-18T14:08:44.282Z
COR_PLZ_W_E_F0;COR_PLZ_W_N_F0;TRUE;2026-02-18T14:08:53.590Z
COR_PLZ_W_E_F0;COR_PLZ_W_S_F0;TRUE;2026-02-18T14:08:55.954Z
PLZ_W_C_F0;COR_PLZ_W_W_F0;TRUE;2026-02-18T14:09:02.760Z
COR_COVERED_S;COR_PLZ_W_W_F0;TRUE;2026-02-18T14:09:14.175Z
COR_MAIN_N1_S;COR_PLZ_W_N_F0;TRUE;2026-02-18T14:09:21.558Z
COR_MAIN_N1_S;COR_MAIN_N1_M2;TRUE;2026-02-18T14:09:56.036Z
COR_MAIN_N1_M1;COR_MAIN_N1_M2;TRUE;2026-02-18T14:10:19.827Z
COR_MAIN_N1_N;COR_MAIN_N1_M1;TRUE;2026-02-18T14:10:32.101Z
COR_PLZ_N_E_F0;COR_MAIN_N1_N;TRUE;2026-02-18T14:10:38.074Z
COR_MAIN_E1_N;COR_PLZ_N_N_F0;TRUE;2026-02-18T14:10:53.543Z
COR_MAIN_E1_M1;COR_MAIN_E1_N;TRUE;2026-02-18T14:10:57.953Z
COR_MAIN_E1_M2;COR_MAIN_E1_M1;TRUE;2026-02-18T14:11:17.528Z
COR_MAIN_E1_S;COR_MAIN_E1_M2;TRUE;2026-02-18T14:11:40.148Z
