FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS,,,,,,,
COR_MAIN_E2_N,COR_MAIN_E2_S,WALK,TRUE,,,,2026-02-25T21:09:29.333Z,ACTIVE,,,,,,,
COR_PLZ_E_W_F0,COR_PLZ_E_N_F0,WALK,TRUE,,,,2026-02-25T21:09:40.275Z,ACTIVE,,,,,,,
COR_PLZ_E_N_F0,COR_MAIN_E2_S,WALK,TRUE,,,,2026-02-25T21:09:43.662Z,ACTIVE,,,,,,,
COR_MAIN_E2_S,COR_PLZ_E_E_F0,WALK,TRUE,,,,2026-02-25T21:09:48.866Z,ACTIVE,,,,,,,
COR_PLZ_E_S_F0,COR_PLZ_E_W_F0,WALK,TRUE,,,,2026-02-25T21:09:51.835Z,ACTIVE,,,,,,,
COR_PLZ_E_S_F0,COR_PLZ_E_E_F0,WALK,TRUE,,,,2026-02-25T21:09:56.242Z,ACTIVE,,,,,,,
COR_PLZ_E_N_F0,ESC_E_F0,WALK,TRUE,,,,2026-02-25T21:10:09.949Z,ACTIVE,,,,,,,
COR_MAIN_E1_S,COR_PLZ_E_W_F0,WALK,TRUE,,,,2026-02-25T21:10:18.039Z,ACTIVE,,,,,,,
COR_MAIN_E1_S,COR_PLZ_E_N_F0,WALK,TRUE,,,,2026-02-25T21:10:19.806Z,ACTIVE,,,,,,,
COR_MAIN_E1_S,COR_MAIN_E1_M1,WALK,TRUE,,,,2026-02-25T21:10:24.094Z,ACTIVE,,,,,,,
COR_MAIN_E1_M1,COR_MAIN_E1_M2,WALK,TRUE,,,,2026-02-25T21:10:25.268Z,ACTIVE,,,,,,,
COR_MAIN_E1_M2,COR_MAIN_E1_M3,WALK,TRUE,,,,2026-02-25T21:10:27.360Z,ACTIVE,,,,,,,
COR_MAIN_E1_M3,COR_MAIN_E1_M4,WALK,TRUE,,,,2026-02-25T21:10:29.716Z,ACTIVE,,,,,,,
PLAY_KIDS_N_F0,SEATING_PLAY_KIDS_N_F0,WALK,TRUE,,,,2026-02-25T21:11:12.698Z,ACTIVE,,,,,,,
COR_MAIN_E1_M4,COR_MAIN_E1_N,WALK,TRUE,,,,2026-02-25T21:11:45.543Z,ACTIVE,,,,,,,
COR_PLZ_N_E_F0,COR_PLZ_N_S_F0,WALK,TRUE,,,,2026-02-25T21:13:22.098Z,ACTIVE,,,,,,,
COR_PLZ_N_N_F0,COR_PLZ_N_E_F0,WALK,TRUE,,,,2026-02-25T21:13:41.647Z,ACTIVE,,,,,,,
COR_PLZ_N_N_F0,COR_PLZ_N_W_F0,WALK,TRUE,,,,2026-02-25T21:13:57.559Z,ACTIVE,,,,,,,
COR_PLZ_N_W_F0,COR_PLZ_N_S_F0,WALK,TRUE,,,,2026-02-25T21:14:02.162Z,ACTIVE,,,,,,,
COR_PLZ_N_N_F0,SEATING_PLAY_KIDS_N_F0,WALK,TRUE,,,,2026-02-25T21:14:14.284Z,ACTIVE,,,,,,,
WC_N_F0,COR_PLZ_N_W_F0,WALK,TRUE,,,,2026-02-25T21:14:18.999Z,ACTIVE,,,,,,,
COR_PLZ_N_N_F0,ESC_N_F0,WALK,TRUE,,,,2026-02-25T21:14:24.403Z,ACTIVE,,,,,,,
COR_PLZ_N_N_F0,STR_N_EXIT_F0,WALK,TRUE,,,,2026-02-25T21:14:28.290Z,ACTIVE,,,,,,,
COR_PLZ_N_N_F0,ATM1_F0,WALK,TRUE,,,,2026-02-25T21:14:32.359Z,ACTIVE,,,,,,,
COR_PLZ_N_N_F0,ELV_N_F0,WALK,TRUE,,,,2026-02-25T21:14:35.078Z,ACTIVE,,,,,,,
RAMP1_F0,COR_PLZ_N_N_F0,WALK,TRUE,,,,2026-02-25T21:14:48.933Z,ACTIVE,,,,,,,
COR_PLZ_N_W_F0,RAMP1_F0,WALK,TRUE,,,,2026-02-25T21:14:51.227Z,ACTIVE,,,,,,,
COR_MAIN_E1_N,COR_PLZ_N_N_F0,WALK,TRUE,,,,2026-02-25T21:14:57.624Z,ACTIVE,,,,,,,
COR_COVERED_N,COR_PLZ_N_S_F0,WALK,TRUE,,,,2026-02-25T21:15:00.659Z,ACTIVE,,,,,,,
COR_PLZ_N_S_F0,STR_N_F0,WALK,TRUE,,,,2026-02-25T21:15:05.324Z,ACTIVE,,,,,,,
COR_PLZ_N_S_F0,ATM5_F0,WALK,TRUE,,,,2026-02-25T21:15:07.672Z,ACTIVE,,,,,,,
COR_PLZ_N_E_F0,COR_MAIN_N1_N,WALK,TRUE,,,,2026-02-25T21:15:12.271Z,ACTIVE,,,,,,,
COR_MAIN_N1_N,COR_MAIN_N1_M4,WALK,TRUE,,,,2026-02-25T21:15:14.572Z,ACTIVE,,,,,,,
COR_COVERED_N,COR_COVERED_M1,WALK,TRUE,,,,2026-02-25T21:15:18.862Z,ACTIVE,,,,,,,
COR_COVERED_M1,COR_COVERED_M2,WALK,TRUE,,,,2026-02-25T21:15:25.107Z,ACTIVE,,,,,,,
COR_COVERED_M3,COR_COVERED_M2,WALK,TRUE,,,,2026-02-25T21:15:29.046Z,ACTIVE,,,,,,,
COR_COVERED_M4,COR_COVERED_M3,WALK,TRUE,,,,2026-02-25T21:15:33.585Z,ACTIVE,,,,,,,
COR_COVERED_M4,ATM4_F0,WALK,TRUE,,,,2026-02-25T21:15:35.301Z,ACTIVE,,,,,,,
COR_COVERED_M4,COR_COVERED_M5,WALK,TRUE,,,,2026-02-25T21:15:37.057Z,ACTIVE,,,,,,,
COR_COVERED_M4,COR_MAIN_N1_M2,WALK,TRUE,,,,2026-02-25T21:15:41.832Z,ACTIVE,,,,,,,
COR_MAIN_N1_M4,COR_MAIN_N1_M3,WALK,TRUE,,,,2026-02-25T21:15:45.940Z,ACTIVE,,,,,,,
