ANCHOR_ID;ANCHOR_TYPE;NAME;ANCHOR_ROLE;ANCHOR_CLASS;FLOOR;ENVIROMENT;AREA_TYPE;VERTICAL;X;Y;POLYGON;WALKABLE;NOTES;STATUS;ACCESS_WHEELCHAIR;ACCESS_STROLLER;ACCESS_LUGGAGE;PRE_SITE_QA;
COR_EXT_E_S;CORRIDOR;Corridor Outside East;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.9720;0.4179;;TRUE;Corridor Outside East;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_EXT_MAIN_ENTRANCE_E;CORRIDOR;Corridor Outside Main Entrance;PATH;CORRIDOR;B1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.8126;0.5679;;TRUE;Corridor Outside Main Entrance;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_EXT_MAIN_ENTRANCE_M1;CORRIDOR;Corridor Outside Main Entrance;PATH;CORRIDOR;B1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7856;0.6079;;TRUE;Corridor Outside Main Entrance;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_MAIN_ENTRANCE_W;CORRIDOR;Corridor Outside Main Entrance;PATH;CORRIDOR;B1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.7586;0.6479;;TRUE;Corridor Outside Main Entrance;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_EXT_N_MAIN_E;CORRIDOR;Corridor Outside North Main;PATH;CORRIDOR;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.1800;0.1019;;TRUE;Corridor Outside North Main;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_EXT_N_MAIN_M1;CORRIDOR;Corridor Outside North Main;PATH;CORRIDOR;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.2480;0.0869;;TRUE;Corridor Outside North Main;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_N_MAIN_M2;CORRIDOR;Corridor Outside North Main;PATH;CORRIDOR;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.3350;0.0669;;TRUE;Corridor Outside North Main;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_N_MAIN_W;CORRIDOR;Corridor Outside North Main;PATH;CORRIDOR;F1;OUTDOOR_OPEN_AIR;MALL;FALSE;0.3930;0.0529;;TRUE;Corridor Outside North Main;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_EXT_W_M1;CORRIDOR;Corridor Outside West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.3146;0.7269;;TRUE;Corridor Outside West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_W_M2;CORRIDOR;Corridor Outside West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.3636;0.7579;;TRUE;Corridor Outside West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_W_M3;CORRIDOR;Corridor Outside West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4216;0.7949;;TRUE;Corridor Outside West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_W_M4;CORRIDOR;Corridor Outside West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4916;0.8409;;TRUE;Corridor Outside West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_W_M5;CORRIDOR;Corridor Outside West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5626;0.8869;;TRUE;Corridor Outside West;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_EXT_W_N;CORRIDOR;Corridor Outside West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.2746;0.6909;;TRUE;Corridor Outside West;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_EXT_W_S;CORRIDOR;Corridor Outside West;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6506;0.9279;;TRUE;Corridor Outside West;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_MAIN_E_M1;CORRIDOR;Avenida de Mediterraneo South;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6646;0.4449;;TRUE;Avenida de Mediterraneo South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E_M2;CORRIDOR;Avenida de Mediterraneo South;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6606;0.4109;;TRUE;Avenida de Mediterraneo South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E_M3;CORRIDOR;Avenida de Mediterraneo South;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6536;0.3679;;TRUE;Avenida de Mediterraneo South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E_M4;CORRIDOR;Avenida de Mediterraneo South;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6366;0.3309;;TRUE;Avenida de Mediterraneo South;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E_N;CORRIDOR;Avenida de Mediterraneo South;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6286;0.3139;;TRUE;Avenida de Mediterraneo South;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_MAIN_E_S;CORRIDOR;Avenida de Mediterraneo South;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6646;0.4719;;TRUE;Avenida de Mediterraneo South;ACTIVE;TRUE;TRUE;TRUE;TRUE;
COR_MAIN_E1_M1;CORRIDOR;Avenida de Mediterraneo North;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5646;0.2369;;TRUE;Avenida de Mediterraneo North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E1_M2;CORRIDOR;Avenida de Mediterraneo North;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5306;0.2129;;TRUE;Avenida de Mediterraneo North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E1_M3;CORRIDOR;Avenida de Mediterraneo North;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4866;0.1869;;TRUE;Avenida de Mediterraneo North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E1_M4;CORRIDOR;Avenida de Mediterraneo North;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4416;0.1589;;TRUE;Avenida de Mediterraneo North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E1_N;CORRIDOR;Avenida de Mediterraneo North;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.4146;0.1599;;TRUE;Avenida de Mediterraneo North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E1_S;CORRIDOR;Avenida de Mediterraneo North;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5866;0.2589;;TRUE;Avenida de Mediterraneo North;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E2_N;CORRIDOR;Corridor East Short;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6506;0.2399;;TRUE;Corridor East Short;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_E2_S;CORRIDOR;Corridor East Short;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.6346;0.2639;;TRUE;Corridor East Short;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N_M1;CORRIDOR;Paseo del Azahar;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5886;0.5309;;TRUE;Paseo del Azahar;ACTIVE;TRUE;TRUE;TRUE;FALSE;
COR_MAIN_N_M2;CORRIDOR;Paseo del Azahar;PATH;CORRIDOR;F0;OUTDOOR_OPEN_AIR;MALL;FALSE;0.5666;0.5169;;TRUE;Paseo del Azahar;ACTIVE;TRUE;TRUE;TRUE;FALSE;
