FROM;TO;MODE;BIDIRECTIONAL;WHEELCHAIR;STROLLER;LUGGAGE;CREATED;STATUS
COR_EXT_N_MAIN_W;ENT_N_MAIN;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:29;OK
COR_EXT_W_M1;COR_EXT_W_M2;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_W_M2;COR_EXT_W_M3;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_W_M3;COR_EXT_W_M4;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_W_M4;COR_EXT_W_M5;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_W_M5;COR_EXT_W_S;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_W_N;COR_EXT_W_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_EXT_W_N;ELV_W1_F0;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:23;OK
COR_EXT_W_N;EXT_GAS_STATION_PARKING;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:55;OK
COR_EXT_W_S;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_EXT_W_S;ELV_W_F0;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:14;OK
COR_EXT_W_S;NODE_EXT_W_ENTRANCE;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 14:10;OK
COR_EXT_W_S;STR_W_OUTSIDE_F0;WALK;TRUE;TRUE;TRUE;TRUE;09/02/2026 13:19;OK
COR_MAIN_E_M1;COR_MAIN_E_M2;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_E_M2;COR_MAIN_E_S;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_E_N;COR_MAIN_E_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_E_N;COR_MAIN_E_S;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_E_S;SHORTCUT_HM_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;09/02/2026 12:23;OK
COR_MAIN_E1_M1;COR_MAIN_E1_M2;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_E1_M2;COR_MAIN_E1_S;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_E1_N;COR_MAIN_E1_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_E1_N;COR_MAIN_E1_S;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_E1_N;COR_MAIN_N1_N;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_E1_S;COR_MAIN_E_N;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_E1_S;COR_MAIN_E2_N;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_E1_S;COR_MAIN_E2_S;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_E2_N;COR_MAIN_E2_S;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_E2_N;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_E2_N;ENT_E_MAIN;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:49;OK
COR_MAIN_E2_S;COR_MAIN_E_N;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_E2_S;COR_MAIN_W_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_N_M1;COR_MAIN_N_M2;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_N_M2;COR_MAIN_N_S;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_N_N;COR_MAIN_N_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_N_N;COR_MAIN_N_S;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:55;OK
COR_MAIN_N_S;COR_MAIN_W1_E;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_N1_M1;COR_MAIN_N1_M2;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_N1_M2;COR_MAIN_N1_S;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_N1_N;COR_MAIN_N1_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_N1_N;COR_MAIN_N1_S;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:57;OK
COR_MAIN_N1_N;COR_MAIN_W1_W;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 12:57;OK
COR_MAIN_N1_S;COR_MAIN_N_N;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_MAIN_N1_S;SHORTCUT_HM_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;09/02/2026 12:24;OK
COR_MAIN_W_E;COR_COVERED_S;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_EXT_E_N;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_EXT_E_S;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_EXT_MAIN_ENTRANCE_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_EXT_N_MAIN_E;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_EXT_N_MAIN_W;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_EXT_W_S;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_MAIN_E2_N;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_MAIN_E2_S;WALK;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:00;OK
COR_MAIN_W_E;COR_MAIN_W_M1;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
COR_MAIN_W_M1;COR_MAIN_W_W;WALK;TRUE;TRUE;TRUE;TRUE;AUTO;ACTIVE
